FiscalYear,Superintendent_Name,field_support_center_name,location_name,principal_name,location_category_description,NthYearTeaching,experience_category,Tenure,upForTenure,flag_Extended,prior_HEDI_Rating,MOTPOptionID,observation_completion_pct,NmbrComponentRated,MOTP_Score,MOTP_Rating,growthRanking_current,MOTPComponent_2char,Component_Average,Component_Rating,PrincipalActiveYears,Fake_DBN,Fake_EmpID,Teacher_Name
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,1e,3.5,E,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,4e,4,H,4.48,00A681,7005181,"WOM, QXD"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,3d,3.5,E,4.48,00A681,7005181,"WOM, QXD"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,4e,4,H,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,1a,4,H,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,2a,4,H,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,1e,4,H,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,3d,4,H,4.48,00A681,7005181,"WOM, QXD"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,3c,4,H,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,3c,4,H,4.48,00A681,7005181,"WOM, QXD"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,3b,3,E,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,2a,4,H,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,3d,3,E,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,4e,3,E,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,2a,3,E,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,3c,3,E,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,1a,3,E,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,4e,,,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,2d,3,E,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,3b,2,D,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,3b,3,E,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,3d,2,D,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,1a,3,E,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,3c,3,E,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,2d,4,H,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,8,3,Effective,329,1e,3,E,0.6,00B971,4601641,"FEK, IXB"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,32,10,Y,,,E,C,0.25,7,3,Effective,329,1e,3,E,0.6,00B971,4601641,"FEK, IXB"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,2d,4,H,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,1e,3,E,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,4e,4,H,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,4e,4,H,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,3b,,,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,3c,4,H,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,3c,3,E,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,3b,,,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,1e,3.33,E,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,2a,4,H,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,1a,4,H,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,1a,4,H,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,3d,4,H,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,3d,3,E,4.48,00A681,9262013,"ZEH, CJH"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.94,Highly Effective,582,2d,4,H,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,34,10,Y,,,H,E,0.6666666667,7,3.55,Highly Effective,582,2a,4,H,4.48,00A681,9262013,"ZEH, CJH"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,3d,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,3c,3.33,E,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,4e,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,1e,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,1a,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,2a,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,3d,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,1e,3.67,H,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,2d,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,4e,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,3c,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,1a,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.81,Highly Effective,582,3b,3,E,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,2d,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,3b,3,E,4.48,00A681,9883613,"ISQ, ZTC"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,31,10,Y,,,H,E,1,8,3.72,Highly Effective,582,2a,4,H,4.48,00A681,9883613,"ISQ, ZTC"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,1e,3,E,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,3c,3,E,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,2d,4,H,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,3b,3.5,E,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,3d,3.5,E,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,3b,3,E,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,1a,3.5,E,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,3d,,,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,4e,,,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,2a,4,H,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,1e,3,E,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,1a,3,E,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,2a,4,H,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,3c,3,E,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,C,0.5,7,3.45,Effective,582,2d,4,H,4.48,00A681,5405743,"RKH, XOX"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,28,10,Y,,,E,E,0.6666666667,7,3.6,Highly Effective,582,4e,4,H,4.48,00A681,5405743,"RKH, XOX"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,2d,3,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,3d,3,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,1a,3,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,3b,,,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,4e,3,E,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,1a,3,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,4e,3,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,1e,3,E,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,2a,3.5,E,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,1e,3,E,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,3d,3,E,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,2d,3.5,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,3c,3,E,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,3c,3,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,C,0.25,7,3.2,Effective,329,2a,4,H,0.6,00B971,3834585,"TBM, NYP"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,22,10,Y,,,E,E,0.6666666667,8,3.17,Effective,329,3b,3,E,0.6,00B971,3834585,"TBM, NYP"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,1a,3,E,0.6,00B971,4635994,"SNK, UNT"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,1e,3,E,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,1e,3,E,0.6,00B971,4635994,"SNK, UNT"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,3c,3,E,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,3c,2.5,D,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,3d,3,E,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,3b,2,D,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,2a,3,E,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,1a,2.5,D,0.6,00B971,4635994,"SNK, UNT"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,4e,2,D,0.6,00B971,4635994,"SNK, UNT"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,2a,3,E,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,2d,3,E,0.6,00B971,4635994,"SNK, UNT"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,3d,2,D,0.6,00B971,4635994,"SNK, UNT"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,C,0.5,8,2.7,Effective,329,4e,2.5,D,0.6,00B971,4635994,"SNK, UNT"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,2d,3,E,0.6,00B971,4635994,"SNK, UNT"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,24,10,Y,,,E,B,0.1666666667,8,2.78,Effective,329,3b,3,E,0.6,00B971,4635994,"SNK, UNT"
